segment,product,unit_sold,sales_price,sales,month_number,month_name
Government, Paseo ,4251,7,28567,1, January 
Enterprise, Paseo ,795,125,95400,3, March 
Small Business, Paseo ,1415,300,407376,4, April 
Small Business, Paseo ,2918,300,840384,5, May 
Government, Paseo ,3450,350,1159200,7, July 
Enterprise, Paseo ,2988,125,358560,7, July 
Midmarket, Paseo ,218,15,3139,9, September 
Government, Paseo ,2074,20,39821,9, September 
Government, Paseo ,1056,20,20275,9, September 
Midmarket, Paseo ,671,15,9662,10, October 
Midmarket, Paseo ,1514,15,21802,10, October 
